num of workers	mean_barrier_time
1	168.3
2	1380.3
3	5323
4	10484.8
5	12212.7
6	14535.9
7	13475.4
8	17511.5
9	20843.9
10	18760.4
11	16167.9
12	18486.7
13	33903.9
14	37125.1
15	27353.3
16	28707.3
17	36125.4
18	56902.2
19	53276.5
20	69513.9
21	74455.6
22	72905
23	79375
24	93259.9
25	99466.6
26	94683
27	124690
28	117907
29	119320
30	130695
31	161767
32	167672
33	146379
34	157752
35	156358
36	156066
37	193785
38	184871
39	186897
40	199216
41	203825
42	231020
43	241599
44	228025
45	198831
46	236891
47	255915
48	227124
49	246104
50	270810
51	234636
52	260909
53	233649
54	298929
55	247962
56	323567
57	351674
58	285049
59	338975
60	313903
61	315871
62	314342
63	364633
64	326449
65	324243
66	340400
67	368297
68	371790
69	388290
70	408696
71	407855
72	457727
73	397533
74	433105
75	558808
76	537475
77	444914
78	459440
79	489807
80	471304
81	484074
82	505976
83	519090
84	548658
85	504072
86	583278
87	545660
88	572727
89	609500
90	608414
91	676264
92	795100
93	665920
94	688175
95	797686
96	674476
97	815531
98	734582
99	612314
100	977586
101	720821
102	873924
103	737602
104	781580
105	680238
106	809478
107	734675
108	913664
109	839315
110	772463
111	1.08273e+06
112	800936
113	982726
114	961448
115	888825
116	982854
117	825864
118	1.18171e+06
119	886376
120	851638
